Date,date,tag
October 17,"October 17, 2024",color tools
October 16,"October 16, 2024","color tools, writing a blog post"
October 15,"October 15, 2024",writing a blog post
October 14,"October 14, 2024",writing a blog post
October 10,"October 10, 2024",writing a blog post
October 09,"October 9, 2024",writing a blog post
October 08,"October 8, 2024",color tools
October 07,"October 7, 2024",writing a blog post
October 02,"October 2, 2024",nothing done
October 01,"October 1, 2024",writing a blog post
September 30,"September 30, 2024",writing a blog post
September 26,"September 26, 2024",nothing done
September 25,"September 25, 2024","book proposal, writing a blog post"
September 24,"September 24, 2024",nothing done
September 23,"September 23, 2024","book reading, writing a blog post"
September 19,"September 19, 2024",book proposal
September 18,"September 18, 2024","accessibility, color tools"
September 17,"September 17, 2024",nothing done
September 16,"September 16, 2024",book proposal
September 12,"September 12, 2024",book proposal
September 11,"September 11, 2024",color space
September 10,"September 10, 2024",book proposal
September 09,"September 9, 2024",color tools
August 03,"August 3, 2022",about these updates
August 02,"August 2, 2022",nothing done
August 01,"August 1, 2022","color space, hiring"
July 28,"July 28, 2022",nothing done
July 27,"July 27, 2022",book structure
July 26,"July 26, 2022","beta reading, hiring"
July 25,"July 25, 2022","cover design, interpolation, writing a blog post, writing on the book"
July 21,"July 21, 2022",writing on the book
July 20,"July 20, 2022","color tools, picking colors"
July 19,"July 19, 2022","hiring, writing a blog post"
July 18,"July 18, 2022","hiring, picking colors"
July 7,"July 7, 2022","hiring, nothing done"
July 6,"July 6, 2022","book structure, hiring"
July 5,"July 5, 2022","beautiful colors, writing on the book"
July 4,"July 4, 2022","hiring, nothing done"
June 30,"June 30, 2022",writing a Weekly Chart
June 29,"June 29, 2022","hiring, writing a Weekly Chart"
June 28,"June 28, 2022","data vis dispatch, hiring, nothing done"
June 27,"June 27, 2022","hiring, writing a Weekly Chart"
June 23,"June 23, 2022","color tools, hiring"
June 22,"June 22, 2022","hiring, writing on the book"
June 21,"June 21, 2022","beautiful colors, hiring, writing on the book"
June 20,"June 20, 2022",hiring
June 16,"June 16, 2022","beautiful colors, figures, writing on the book"
June 15,"June 15, 2022","beautiful colors, paper reading"
June 14,"June 14, 2022","beautiful colors, hiring, writing on the book"
June 13,"June 13, 2022","hiring, nothing done"
June 2,"June 2, 2022","beautiful colors, paper reading"
June 1,"June 1, 2022","color tools, nothing done, picking colors"
May 31,"May 31, 2022","beautiful colors, hiring, writing on the book"
May 30,"May 30, 2022","beautiful colors, paper reading, writing on the book"
May 25,"May 25, 2022","accessibility, book structure, writing on the book"
May 24,"May 24, 2022","accessibility, paper reading, writing on the book"
May 23,"May 23, 2022","accessibility, writing on the book"
May 19,"May 19, 2022","accessibility, writing on the book"
May 18,"May 18, 2022","accessibility, writing on the book"
May 17,"May 17, 2022",accessibility
May 16,"May 16, 2022",writing on the book
May 12,"May 12, 2022","accessibility, color tools, conference, writing on the book"
May 11,"May 11, 2022","meanings of color, writing on the book"
May 10,"May 10, 2022","data vis dispatch, nothing done"
May 09,"May 9, 2022",picking colors
May 5,"May 5, 2022","paper reading, writing on the book"
May 4,"May 4, 2022","color key, writing on the book"
May 3,"May 3, 2022","book structure, color key, writing on the book"
May 2,"May 2, 2022",nothing done
April 28,"April 28, 2022","color key, figures, writing on the book"
April 27,"April 27, 2022","figures, interpolation, writing on the book"
April 26,"April 26, 2022","figures, interpolation"
April 25,"April 25, 2022","figures, interpolation"
April 14,"April 14, 2022",nothing done
April 13,"April 13, 2022","figures, writing on the book"
April 12,"April 12, 2022","figures, writing on the book"
April 11,"April 11, 2022",writing on the book
April 07,"April 7, 2022","paper reading, writing on the book"
April 06,"April 6, 2022",writing on the book
April 05,"April 5, 2022","book structure, writing on the book"
April 04,"April 4, 2022","book structure, style guide"
March 21,"March 21, 2022","nothing done, writing a Weekly Chart"
March 17,"March 17, 2022","color user interviews, style guide, writing a blog post"
March 16,"March 16, 2022","style guide, writing a blog post"
March 15,"March 15, 2022","data vis dispatch, paper reading, style guide"
March 14,"March 14, 2022",data vis dispatch
March 10,"March 10, 2022","style guide, writing a blog post"
March 09,"March 9, 2022",nothing done
March 03,"March 3, 2022","style guide, writing a blog post"
March 02,"March 2, 2022","style guide, writing a blog post"
March 01,"March 1, 2022",data vis dispatch
February 28,"February 28, 2022","data vis dispatch, writing a blog post"
February 24,"February 24, 2022",nothing done
February 21,"February 21, 2022",style guide
February 17,"February 17, 2022",writing a blog post
February 16,"February 16, 2022",writing a blog post
